epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.482,1.42582,1.37508,1.34542,0.07088,0.20332,0.02558,0.01128,2.58541,12.3746,4.03531,0.000653333,0.000653333,0.000653333
2,286.44,1.60244,1.26764,1.47932,0.28445,0.57261,0.38036,0.15891,2.00712,13.8106,2.19747,0.00131347,0.00131347,0.00131347
3,438.927,1.64277,1.36012,1.53926,0.00268,0.10788,0.00152,0.00053,4.0589,91.1548,21.2969,0.001967,0.001967,0.001967
4,588.286,1.63072,1.32413,1.51587,0.4777,0.315,0.28705,0.14334,1.7088,7.89128,1.78025,0.0019703,0.0019703,0.0019703
5,750.686,1.55464,1.19402,1.46921,0.48237,0.22813,0.20998,0.11046,1.70556,2.76608,1.62828,0.0019604,0.0019604,0.0019604
6,909.214,1.51078,1.09708,1.41402,0.62522,0.32534,0.32735,0.15692,1.70349,3.01362,1.64389,0.0019505,0.0019505,0.0019505
7,1069.62,1.53888,1.14062,1.46766,0.46882,0.29046,0.27412,0.14022,1.69498,4.18958,1.61911,0.0019406,0.0019406,0.0019406
8,1242.89,1.50827,1.09799,1.43959,0.67486,0.24115,0.26131,0.13907,1.68199,1.94817,1.59248,0.0019307,0.0019307,0.0019307
9,1408.48,1.44935,1.03997,1.40148,0.64222,0.2756,0.2767,0.15902,1.62538,2.41743,1.56126,0.0019208,0.0019208,0.0019208
10,1576.72,1.42082,1.01464,1.38312,0.56155,0.31535,0.31909,0.17583,1.55609,1.1708,1.51177,0.0019109,0.0019109,0.0019109
11,1744.91,1.35971,0.97605,1.34556,0.65847,0.28631,0.28722,0.17123,1.43201,1.73718,1.46353,0.001901,0.001901,0.001901
12,1926.86,1.35218,0.94751,1.33913,0.78475,0.25311,0.26943,0.15857,1.53968,1.206,1.52438,0.0018911,0.0018911,0.0018911
13,2108.63,1.31104,0.931,1.32146,0.72962,0.32365,0.33161,0.19559,1.4209,1.30743,1.39475,0.0018812,0.0018812,0.0018812
14,2296.35,1.3144,0.89891,1.32102,0.59459,0.25726,0.25661,0.15727,1.53863,1.5183,1.45972,0.0018713,0.0018713,0.0018713
15,2479.41,1.29665,0.87884,1.31608,0.52949,0.28631,0.27694,0.15491,1.56589,1.58771,1.49278,0.0018614,0.0018614,0.0018614
16,2675.66,1.32249,0.89985,1.32183,0.72459,0.26556,0.28889,0.18313,1.4006,1.12911,1.36151,0.0018515,0.0018515,0.0018515
17,2867.92,1.26035,0.84094,1.28975,0.7219,0.21543,0.2282,0.14014,1.46215,1.64241,1.43612,0.0018416,0.0018416,0.0018416
18,3061.92,1.26217,0.85095,1.28164,0.80698,0.34025,0.37058,0.21237,1.37158,0.89992,1.36067,0.0018317,0.0018317,0.0018317
19,3248.81,1.28129,0.84816,1.29089,0.7846,0.43568,0.46591,0.2816,1.36115,1.05753,1.35634,0.0018218,0.0018218,0.0018218
20,3433.68,1.22335,0.81891,1.26261,0.72727,0.36929,0.38019,0.23173,1.41534,0.92128,1.42254,0.0018119,0.0018119,0.0018119
21,3623.55,1.26624,0.85287,1.30187,0.77462,0.3278,0.35471,0.21437,1.5407,1.08393,1.50081,0.001802,0.001802,0.001802
22,3816.66,1.21738,0.82122,1.26535,0.75919,0.39004,0.40126,0.26461,1.22021,0.84684,1.26898,0.0017921,0.0017921,0.0017921
23,4007.19,1.19205,0.79143,1.24633,0.83341,0.49793,0.55786,0.35092,1.29644,0.88401,1.30695,0.0017822,0.0017822,0.0017822
24,4205.19,1.18295,0.77843,1.23122,0.81113,0.49793,0.53261,0.3201,1.33065,0.94484,1.31374,0.0017723,0.0017723,0.0017723
25,4389.3,1.17099,0.75226,1.23679,0.77679,0.39834,0.39969,0.25432,1.32421,0.96078,1.34356,0.0017624,0.0017624,0.0017624
26,4569.59,1.16216,0.76089,1.2239,0.78325,0.44398,0.47362,0.31197,1.23806,0.83923,1.2773,0.0017525,0.0017525,0.0017525
27,4756.12,1.159,0.73697,1.22484,0.70707,0.37759,0.37106,0.23245,1.34423,0.94967,1.35637,0.0017426,0.0017426,0.0017426
28,4956.4,1.14551,0.74425,1.23029,0.83232,0.46058,0.50143,0.32126,1.25628,0.96696,1.30032,0.0017327,0.0017327,0.0017327
29,5140.48,1.13943,0.70357,1.21275,0.73305,0.28631,0.2912,0.18676,1.28745,1.20636,1.31302,0.0017228,0.0017228,0.0017228
30,5332.88,1.13369,0.73026,1.21854,0.74423,0.52697,0.54136,0.33072,1.37859,0.90488,1.36681,0.0017129,0.0017129,0.0017129
31,5525.05,1.12594,0.71497,1.21632,0.78557,0.44084,0.49077,0.30791,1.39526,1.01552,1.40024,0.001703,0.001703,0.001703
32,5725.86,1.12175,0.71633,1.20162,0.84732,0.80595,0.8586,0.56442,1.26632,0.80982,1.28499,0.0016931,0.0016931,0.0016931
33,5922.53,1.12846,0.71389,1.20255,0.79681,0.16598,0.17318,0.12351,1.19257,1.29263,1.24636,0.0016832,0.0016832,0.0016832
34,6122.68,1.12512,0.70962,1.20848,0.78655,0.46058,0.47861,0.29696,1.26559,0.95334,1.29983,0.0016733,0.0016733,0.0016733
35,6344.29,1.05024,0.66647,1.17018,0.84661,0.83402,0.87513,0.59242,1.22441,0.82687,1.27421,0.0016634,0.0016634,0.0016634
